firstname,surname,Make,Plate,Phone,Date,1
Selma Ottilia Lovisa,Lagerl_f,Audi ,ZY35220,2891056,01/06/20,11
Gerty Theresa,"Cori, n_e Radnitz",Skoda ,BN83772,2891104,02/06/20,10
Derek,Walcott,Volkswagen ,1580149,6974848,02/06/20,13
Simon,Kuznets,Volvo ,AG21469,2891093,03/06/20,9
Herbert,Kroemer,Toyota ,DPR3067,6974902,03/06/20,11
Jean Baptiste,Perrin,Toyota ,BB91685,2890884,04/06/20,14
William D.,Phillips,Honda ,BV56554,2891080,05/06/20,15
Eugenio,Montale,Volkswagen ,BN68802,2891084,05/06/20,16
Max,Theiler,Toyota ,Q113189,6974871,08/06/20,14
Kim,Dae-jung,Audi ,AT12631,2890897,08/06/20,11
Leopold,Ruzicka,Toyota ,AQ42787,6974706,09/06/20,13
Thomas Hunt,Morgan,Toyota ,VMA654,6974946,09/06/20,10
Elias James,Corey,Peugeot ,BL27112,2891083,09/06/20,15
Heinrich,B_ll,Peugeot ,UN4W5W,6974816,09/06/20,12
Fritz Albert,Lipmann,Volkswagen ,AL76569,2891063,12/06/20,16
Kary B.,Mullis,Volkswagen ,X2035L,2891121,16/06/20,11
Richard,Stone,Honda ,Y940417,2891062,16/06/20,9
Ronald,Ross,BMW ,AW83260,2890985,16/06/20,15
Alva,Myrdal,Toyota ,BE17387,6974944,17/06/20,16
Serge,Haroche,Toyota ,,1719797,17/06/20,9
Trygve,Haavelmo,Toyota ,V896162,216888,18/06/20,11
Hans Albrecht,Bethe,Toyota ,AY79533,6974863,19/06/20,11
Tomas,Lindahl,Toyota ,BD22198,2890903,19/06/20,10
Thomas C.,Schelling,Saab ,890570,6974895,20/06/20,16
Ernest Miller,Hemingway,BMW ,DEBROS,2891087,20/06/20,10
William Butler,Yeats,Ford ,917380,6974862,21/06/20,9
James M.,Buchanan Jr.,Volkswagen ,BC58340,2891018,21/06/20,11
Aung San Suu Kyi,,Peugeot ,,2891020,22/06/20,15
Petrus (Peter) Josephus Wilhelmus,Debye,Honda ,AE13865,6974856,23/06/20,14
Charles Glover,Barkla,Skoda ,BM36522,1539631,24/06/20,12
K. Barry,Sharpless,Volkswagen ,Q153159,6974709,26/06/20,15
Eyvind,Johnson,Volkswagen ,BL84257,2891109,27/06/20,14
Barack H.,Obama,Volkswagen ,FP90155,6974840,27/06/20,9
Paul,Krugman,Saab ,H743675,2891040,27/06/20,16
Kurt,WÙthrich,Peugeot ,Q124596,2891073,27/06/20,15
Alice,Munro,Volkswagen ,BB20670,2891100,28/06/20,16
Willem,Einthoven,Toyota ,,6974838,28/06/20,9
Emil Adolf,von Behring,Volvo ,Q814540,216825,28/06/20,12
Ralph M.,Steinman,Peugeot ,E732259,216891,29/06/20,15
Romain,Rolland,Peugeot ,PBU9016,216882,29/06/20,10
Francis William,Aston,Audi ,BK31290,2891090,30/06/20,12
Tomas,Lindahl,Volvo ,BP82312,2890965,30/06/20,9
John Warcup,Cornforth,Peugeot ,AU88219,2891006,02/07/20,16
Subramanyan,Chandrasekhar,Mitsubishi ,BA64065,2890879,03/07/20,11
Herta,MÙller,Volkswagen ,BA24053,6974853,03/07/20,12
Enrico,Fermi,Volvo ,885U122,2891042,04/07/20,11
Luigi,Pirandello,Volvo ,BN71045,6974844,04/07/20,14
Richard,Kuhn,Nissan ,BB19008,2890922,06/07/20,10
Salvatore,Quasimodo,Toyota ,AN77363,2891107,07/07/20,15
Yoshinori,Ohsumi,Peugeot ,348TYC,6974924,08/07/20,13
Karl Adolph,Gjellerup,Toyota ,V240795,2890898,09/07/20,9
Michael,Smith,Skoda ,BL83064,2891069,09/07/20,11
Zhores I.,Alferov,Volkswagen ,DPR3067,6974902,10/07/20,16
Robert Bruce,Merrifield,Toyota ,G904423,2891101,10/07/20,10
Mikhail Sergeyevich,Gorbachev,Toyota ,AV43735,6974945,11/07/20,13
Vincent,du Vigneaud,Toyota ,BA45145,6974718,11/07/20,15
Carol W.,Greider,BMW ,AW63062,6974878,11/07/20,10
Nelly,Sachs,Audi ,BW43215,6974849,11/07/20,11
Hermann,Staudinger,Honda ,8780173,6974919,12/07/20,12
Robert J.,Aumann,Audi ,AE53120,6974906,12/07/20,15
Susumu,Tonegawa,Volkswagen ,ACA3052,2891072,13/07/20,12
Martti,Ahtisaari,Volkswagen ,R978886,2891115,13/07/20,9
Owen Willans,Richardson,Honda ,2475280B,6974821,13/07/20,13
Elinor,Ostrom,Volkswagen ,AK28792,2891078,13/07/20,11
Allvar,Gullstrand,Volkswagen ,BL87323,6974694,14/07/20,16
Pablo,Neruda,Peugeot ,AV27229,6974872,14/07/20,12
Richard,Kuhn,Honda ,BA30735,6974699,15/07/20,9
Rita,Levi-Montalcini,Toyota ,AS85759,2891118,15/07/20,13
Elinor,Ostrom,Toyota ,BC96697,6974934,16/07/20,13
Ernst,Ruska,Mitsubishi ,FWL510,216872,17/07/20,10
Schack August Steenberg,Krogh,Peugeot ,AV21846,2891030,17/07/20,16
Joshua,Lederberg,Mitsubishi ,N717096,2891068,17/07/20,9
Gary S.,Becker,Audi ,V279452,2891086,18/07/20,11
Hermann,Hesse,Toyota ,BR80068,6974890,20/07/20,15
Robert Burns,Woodward,Toyota ,AN26310,2890996,21/07/20,11
Françoise,Barr_-Sinoussi,Toyota ,BC55387,6974869,21/07/20,9
Sir Robert,Robinson,Mitsubishi ,ZU71534,6974931,23/07/20,14
Jimmy,Carter,Volkswagen ,V260796,216861,24/07/20,12
Murray,Gell-Mann,Volvo ,BW65674,2891103,24/07/20,13
Ernest,Rutherford,Volkswagen ,E818940,2891034,25/07/20,13
Sir Winston Leonard Spencer,Churchill,Ford ,AQ25990,6974891,26/07/20,9
Gabriel,GarcÕa Màrquez,Volvo ,,2890900,27/07/20,15
George,de Hevesy,Toyota ,2328547,2891019,28/07/20,16
Daniel,Kahneman,Volvo ,AJ6577,6974852,28/07/20,12
Lord (Alexander R.),Todd,Toyota ,BF65541,2890981,28/07/20,13
Carl David,Anderson,Toyota ,V188105,6974923,28/07/20,10
Shmuel Yosef,Agnon,Volkswagen ,,6974701,28/07/20,14
Walter,Kohn,Ford ,BL79965,216876,30/07/20,13
Max,Born,Toyota ,Z751206,6974870,30/07/20,14
Jack S.,Kilby,Nissan ,,2890925,30/07/20,10
Walter Rudolf,Hess,Volkswagen ,AH18011,1719795,31/07/20,14
William Francis,Giauque,Ford ,BR75551,6974861,31/07/20,13
Hannes Olof G_sta,Alfv_n,Volvo ,FMW4409,216892,02/08/20,10
Melvin,Calvin,Volvo ,AD55382,2890892,05/08/20,15
Hideki,Yukawa,Peugeot ,372736,6974835,05/08/20,13
Jody,Williams,Opel ,BQ17150,2891085,07/08/20,12
Barbara,McClintock,Peugeot ,BL46272,2891049,07/08/20,13
David J.,Wineland,Volvo ,987SYY,6974868,07/08/20,14
Heinrich Otto,Wieland,Toyota ,3474TX,6974896,08/08/20,16
Clive W.J.,Granger,Volkswagen ,237335,2890886,10/08/20,13
Hideki,Yukawa,Toyota ,R263981,6974712,10/08/20,14
Christiaan,Eijkman,Honda ,E949469,2891032,11/08/20,13
Arthur Holly,Compton,Audi ,AS77000,6974911,12/08/20,10
Harold Clayton,Urey,Volkswagen ,BA52752,2891058,12/08/20,11
Nadine,Gordimer,Toyota ,BE22711,2891070,13/08/20,9
David J.,Wineland,Toyota ,AD85467,6974874,14/08/20,10
Linus Carl,Pauling,Ford ,,2890907,15/08/20,11
Henrik Carl Peter,Dam,Peugeot ,BL59360,6974936,17/08/20,16
Luis F.,Leloir,Toyota ,BE42289,2891108,18/08/20,14
Gertrude B.,Elion,Volkswagen ,,2891116,19/08/20,12
Heike,Kamerlingh Onnes,Toyota ,9451890,6974922,20/08/20,13
John,Steinbeck,Mitsubishi ,BT95566,6974702,20/08/20,14
Aleksandr Mikhailovich,Prokhorov,Volkswagen ,347968,2891021,20/08/20,11
